state,university,university home,university twitter,university instagram
Alaska,University of Alaska - Anchorage,https://www.uaa.alaska.edu/,uaanchorage,uaaphotos
Alaska,University of Alaska - Fairbanks,https://www.uaf.edu/,uafairbanks,uafairbanks
Alaska,University of Alaska - Southeast,http://www.uas.alaska.edu/,uasoutheast,uasoutheast
Arizona,Arizona State University - Downtown Campus,https://campus.asu.edu/downtown-phoenix,NA,NA
Arizona,Arizona State University,https://www.asu.edu/,ASU,NA
Arizona,Arizona State University - Polytechnic Campus,https://campus.asu.edu/polytechnic,NA,NA
Arizona,Arizona State University - West Campus,https://campus.asu.edu/west,NA,NA
Arizona,Northern Arizona University,https://nau.edu/,NAU,nauflagstaff
Arizona,Northern Arizona University - Yuma,http://yuma.nau.edu/,NAUExtended,NA
Arizona,University of Arizona,http://www.arizona.edu/,UofA,uarizona
Arizona,University of Arizona - South,https://uas.arizona.edu/,UASouth,NA
California,California State Polytechnic University - Pomona,http://www.cpp.edu/,calpolypomona,calpolypomona
California,California State University - Bakersfield,http://www.csub.edu/,CSUBakersfield,csubakersfield
California,California State University - Channel Islands,https://www.csuci.edu/,csuci,csuci
California,California State University - Chico,http://www.csuchico.edu/,ChicoState,chicostate
California,California State University - Dominguez Hills,https://www.csudh.edu/,DominguezHills,csudominguezhills
California,California State University - East Bay,http://www.csueastbay.edu/,CalStateEastBay,csueb
California,California State University - Maritime Academy,https://www.csum.edu/web/mycampus/home,Cal_Maritime,calmaritime
California,California State University - Sacramento,http://www.csus.edu/,sacstate,sacstate
California,California State University - San Bernardino,https://www.csusb.edu/,CSUSBNews,csusb
California,California State University - San Marcos,http://www.csusm.edu/,CSUSM,csusm
California,California State University - Stanislaus,https://www.csustan.edu/,stan_state,stanstate
California,Humboldt State University,https://www.humboldt.edu/,humboldtstate,humboldtstate
California,University of California - Merced,http://www.ucmerced.edu/,ucmerced,ucmerced
Colorado,University of Colorado - Denver,http://www.ucdenver.edu/pages/ucdwelcomepage.aspx,CUDenver,cudenver
Colorado,University of Colorado - Boulder,https://www.colorado.edu/,CUBoulder,cuboulder
Colorado,University of Northern Colorado,http://www.unco.edu/,UNC_Colorado,unc_colorado
Colorado,Adams State University,https://www.adams.edu/,adamsstate,NA
Colorado,Colorado Mesa University,http://www.coloradomesa.edu/,ColoradoMesaU,coloradomesau
Colorado,Colorado State University,https://www.colostate.edu/,ColoradoStateU,coloradostateuniversity
Colorado,Colorado State University - Pueblo,https://www.csupueblo.edu/,CSUPueblo,csupueblo
Colorado,Fort Lewis College,https://www.fortlewis.edu/,FLCDurango,fortlewiscollege
Colorado,Metropolitan State University of Denver,https://msudenver.edu/,msudenver,msu_denver
Colorado,Western State Colorado University,https://www.western.edu/,WesternColoU,westernstatecoloradouniversity
Hawai'i,University of Hawai'i at Hilo,https://hilo.hawaii.edu/,UHHilo,uhhilo
Hawai'i,University of Hawai'i at Manoa,https://manoa.hawaii.edu/,uhmanoa,uhmanoanews
Hawai'i,University of Hawai'i - Maui College,https://maui.hawaii.edu/,UHMaui,uhmaui
Hawai'i,University of Hawi'i - West O'ahu,http://www.uhwo.hawaii.edu/,UHWestOahu,uhwestoahu
Idaho,University of Idaho,http://www.uidaho.edu/,uidaho,uidaho
Idaho,Idaho State University,https://www.isu.edu/,IdahoStateU,idahostateu
Idaho,Boise State University,https://www.boisestate.edu/,boisestatelive,NA
Idaho,Lewis-Clark State College,http://www.lcsc.edu/,LCSC,lewisclarkstate
Montana,University of Montana,http://www.umt.edu/,umontana,umontana
Montana,University of Colorado - Colorado Springs,https://www.uccs.edu/,UCCS,uccs
Montana,Montana State University - Bozeman,http://www.montana.edu/,montanastate,montanastateuniversity
Montana,Montana State University - Billings,http://www.msubillings.edu/,msubillings,msubillings
Montana,Montana State University - Northern,https://www.msun.edu/,MSUNorthern,msunorthern
Montana,The University of Montana - Western,https://w.umwestern.edu/,MontanaWestern,montana_western
Nevada,Nevada State College,http://nsc.edu/,NevadaState,nevadastatecollege
Nevada,University of Nevada - Las Vegas,https://www.unlv.edu/,UNLV,unlv
Nevada,University of Nevada - Reno,https://www.unr.edu/,unevadareno,unevadareno
New Mexico,Eastern New Mexico University - Portales,https://www.enmu.edu/,enmu,enmu
New Mexico,New Mexico Highland University,http://www.nmhu.edu,NMHURecruitment,NA
New Mexico,New Mexico Institute of Mining and Technology,http://www.nmt.edu/,newmexicotech,newmexicotech
New Mexico,New Mexico State University,https://www.nmsu.edu/,nmsu,nmsu
New Mexico,Northern New Mexico College,https://nnmc.edu/,NorthernNNMC,NA
New Mexico,The University of New Mexico,https://www.unm.edu/,UNM,uofnm
New Mexico,Western New Mexico University,http://wnmu.edu/,WNMU,wnmu
North Dakota,Dickinson State University,http://www.dickinsonstate.edu/,DickinsonU,dickinsonstate
North Dakota,Mayville State University,http://www.mayvillestate.edu/,mayvillestate,NA
North Dakota,Minot State University,http://www.minotstateu.edu/,Minotstateu,NA
North Dakota,North Dakota State University,https://www.ndsu.edu/,NDSU,north_dakota_state_university
North Dakota,University of North Dakota,http://und.edu/,UofNorthDakota,NA
North Dakota,Valley City State University,http://www.vcsu.edu/,VCSU,vcsuvikings
Oregon,Eastern Oregon University,https://www.eou.edu/,eoumountaineers,monty.mountaineer
Oregon,Oregon Institute of Technology,http://www.oit.edu/,OregonTech,NA
Oregon,Portland State University,https://www.pdx.edu/,Portland_State,portlandstate
Oregon,Southern Oregon University,http://www.sou.edu/,SOUAshland,souashland
Oregon,Western Oregon University,http://www.wou.edu/,WOUnews,wounews
South Dakota,Black Hills State University,http://www.bhsu.edu/,BlackHillsState,blackhillsstate
South Dakota,Dakota State University,https://dsu.edu/,DakotaState,NA
South Dakota,Northern State University,https://www.northern.edu/,NorthernStateU,northernstateu
South Dakota,South Dakota School of Mines & Technology,https://www.sdsmt.edu/,sdsmt,sdsmt
South Dakota,South Dakota State University,https://www.sdstate.edu/,SDState,sdstatepics
South Dakota,University of South Dakota,http://www.usd.edu/,usd,NA
Utah,Dixie State University,https://dixie.edu/,DixieState,dixiestate
Utah,Southern Utah University,https://www.suu.edu/,SUUtbirds,suutbirds
Utah,The University of Utah,https://www.utah.edu/,UUtah,universityofutah
Utah,Utah State University,https://www.usu.edu/,USUAggies,usuaggielife
Utah,Weber State University,https://www.weber.edu/,WeberStateU,weberstate
Washington,University of Washington,https://www.washington.edu/,UW,uofwa
Washington,Washington State University - Pullman,https://wsu.edu/,WSUPullman,wsupullman
Washington,Western Washington University,http://www.wwu.edu/,WWU,NA
Washington,Central Washington University,https://www.cwu.edu/,CentralWashU,central_washington_university
Washington,Eastern Washington University,https://www.ewu.edu/,EWUEagles,NA
Washington,Washington State University - Tri Cities,https://tricities.wsu.edu/,WSUTriCities,wsutricities
Wyoming,University of Wyoming,http://www.uwyo.edu/,UWyonews,uofwyoming
